Name,Surname,total_bill,tip,sex,smoker,day,time,size
Adele,Groves,16.99,1.01,Female,No,Sun,Dinner,2
Josh,Wilson,10.34,1.66,Male,No,Sun,Dinner,3
,Morrison,21.01,3.5,Male,No,Sun,Dinner,3
Harvey,Kennedy,23.68,3.31,Male,No,Sun,Dinner,2
,Webb,24.59,3.61,Female,No,Sun,Dinner,4
Lleyton,Douglas,25.29,4.71,Male,No,Sun,Dinner,4
,Crawford,8.77,2,Male,No,Sun,Dinner,2
Alexis,Vincent,26.88,3.12,Male,No,Sun,Dinner,4
,Pratt,15.04,1.96,Male,No,Sun,Dinner,2
Alexandra,Rahman,14.78,3.23,Male,No,Sun,Dinner,2
Claudia,Real,10.27,1.71,Male,No,Sun,Dinner,2
Tegan,Sullivan,35.26,5,Female,No,Sun,Dinner,4
Blair,Scott,15.42,1.57,Male,No,Sun,Dinner,2
Eduardo,Padilla,18.43,3,Male,No,Sun,Dinner,4
Deborah,Wilson,14.83,3.02,Female,No,Sun,Dinner,2
Alex,McKenzie,21.58,3.92,Male,No,Sun,Dinner,2
William,,10.33,1.67,Female,No,Sun,Dinner,3
Rian,MacDonald,16.29,3.71,Male,No,Sun,Dinner,3
Scott,Burrows,16.97,3.5,Female,No,Sun,Dinner,3
,Findlay,20.65,3.35,Male,No,Sat,Dinner,3
Laura,Hurwitz,17.92,4.08,Male,No,Sat,Dinner,2
Sofia,Cox,20.29,2.75,Female,No,Sat,Dinner,2
Ty,Brown,15.77,2.23,Female,No,Sat,Dinner,2
Mary,Pinkham,39.42,7.58,Male,No,Sat,Dinner,4
Luca,Way,19.82,3.18,Male,No,Sat,Dinner,2
Rachel,Perry,17.81,2.34,Male,No,Sat,Dinner,4
Kenneth,Barton,13.37,2,Male,No,Sat,Dinner,2
Elizabeth,Dickinson,12.69,2,Male,No,Sat,Dinner,2
Edward,Cline,21.7,4.3,Male,No,Sat,Dinner,2
Chelsea,Lynch,19.65,3,Female,No,Sat,Dinner,2
Joe,Gardiner,9.55,1.45,Male,No,Sat,Dinner,2
Katherine,Kelly,18.35,2.5,Male,No,Sat,Dinner,4
Mitchell,Peel,15.06,3,Female,No,Sat,Dinner,2
,,20.69,2.45,Female,No,Sat,Dinner,4
Joseph,Chartres,17.78,3.27,Male,No,Sat,Dinner,2
Ben,Young,24.06,3.6,Male,No,Sat,Dinner,3
Charles,Stork,16.31,2,Male,No,Sat,Dinner,3
Sam,Riley,16.93,3.07,Female,No,Sat,Dinner,3
Jasmine,Bage,18.69,2.31,Male,No,Sat,Dinner,3
Brooke,Wilkins,31.27,5,Male,No,Sat,Dinner,3
Michaela,Jamieson,16.04,2.24,Male,No,Sat,Dinner,3
Richard,Felix,17.46,2.54,Male,No,Sun,Dinner,2
Melissa,Clark,13.94,3.06,Male,No,Sun,Dinner,2
Zain,Davidson,9.68,1.32,Male,No,Sun,Dinner,2
Henry,Russell,30.4,5.6,Male,No,Sun,Dinner,4
Hugo,Cambridge,18.29,3,Male,No,Sun,Dinner,2
Crystal,Singleton,22.23,5,Male,No,Sun,Dinner,2
Caden,Hughes,32.4,6,Male,No,Sun,Dinner,4
Andrew,Pugh,28.55,2.05,Male,No,Sun,Dinner,3
,,18.04,3,Male,No,Sun,Dinner,2
Luca,Rogers,12.54,2.5,Male,No,Sun,Dinner,2
Joshua,Buckley,10.29,2.6,Female,No,Sun,Dinner,2
Charlie,Thurgood,34.81,5.2,Female,No,Sun,Dinner,4
Amy,Pumpkin,9.94,1.56,Male,No,Sun,Dinner,2
Charlie,Melrose,25.56,4.34,Male,No,Sun,Dinner,4
Roland,Bateman,19.49,3.51,Male,No,Sun,Dinner,2
Amy,Dawson,38.01,3,Male,Yes,Sat,Dinner,4
Beverly,Bean,26.41,1.5,Female,No,Sat,Dinner,2
Max,Fehon,11.24,1.76,Male,Yes,Sat,Dinner,2
John,Yates,48.27,6.73,Male,No,Sat,Dinner,4
Catherine,Davis,20.29,3.21,Male,Yes,Sat,Dinner,2
Alice,Dunn,13.81,2,Male,Yes,Sat,Dinner,2
Louise,Curtis,11.02,1.98,Male,Yes,Sat,Dinner,2
Robert,Hughes,18.29,3.76,Male,Yes,Sat,Dinner,4
Mitchell,Blackham,17.59,2.64,Male,No,Sat,Dinner,3
Sofia,Gardiner,20.08,3.15,Male,No,Sat,Dinner,3
Reegan,Thomson,16.45,2.47,Female,No,Sat,Dinner,2
Edna,Ward,3.07,1,Female,Yes,Sat,Dinner,1
Ethan,Bolton,20.23,2.01,Male,No,Sat,Dinner,2
Carter,Hamilton,15.01,2.09,Male,Yes,Sat,Dinner,2
Samuel,Taber,12.02,1.97,Male,No,Sat,Dinner,2
Arron,Stewart,17.07,3,Female,No,Sat,Dinner,3
,Boag,26.86,3.14,Female,Yes,Sat,Dinner,2
Becky,Martin,25.28,5,Female,Yes,Sat,Dinner,2
Robert,Blackmon,14.73,2.2,Female,No,Sat,Dinner,2
Cecil,Postell,10.51,1.25,Male,No,Sat,Dinner,2
Lilian,Leddy,17.92,3.08,Male,Yes,Sat,Dinner,2
Joseph,Best,27.2,4,Male,No,Thur,Lunch,4
Liam,Baxter,22.76,3,Male,No,Thur,Lunch,2
Charlie,Duffy,17.29,2.71,Male,No,Thur,Lunch,2
Alana,Peden,19.44,3,Male,Yes,Thur,Lunch,2
Anna,Ryrie,16.66,3.4,Male,No,Thur,Lunch,2
Joel,McCutchen,10.07,1.83,Female,No,Thur,Lunch,1
Chris,Wright,32.68,5,Male,Yes,Thur,Lunch,2
Iona,Murphy,15.98,2.03,Male,No,Thur,Lunch,2
Melissa,Hill,34.83,5.17,Female,No,Thur,Lunch,4
Isabel,Dodd,13.03,2,Male,No,Thur,Lunch,2
Lucia,Hamilton,18.28,4,Male,No,Thur,Lunch,2
Michael,,24.71,5.85,Male,No,Thur,Lunch,2
Hollie,Russell,21.16,3,Male,No,Thur,Lunch,2
David,McClelland,28.97,3,Male,Yes,Fri,Dinner,2
Scarlett,Webster,22.49,3.5,Male,No,Fri,Dinner,2
Adam,Buncle,5.75,1,Female,Yes,Fri,Dinner,2
Alicia,Duigan,16.32,4.3,Female,Yes,Fri,Dinner,2
Indiana,Rays,22.75,3.25,Female,No,Fri,Dinner,2
Jennifer,Byington,40.17,4.73,Male,Yes,Fri,Dinner,4
Aedan,Thomson,27.28,4,Male,Yes,Fri,Dinner,2
John,Jones,12.03,1.5,Male,Yes,Fri,Dinner,2
